proc_ym,proc_ymd,mcode,lecture_type,event,action,object_type,object_name,object_description,referrer_type,referrer_name,referrer_description,referrer_extensions_contentid,eventtime_kst,caliper_timestamp,data_source,yyyy,mm,dd
0,202108,20210809.0,,,SessionEvent,LoggedIn,SoftwareApplication,kr.hbstudy.apphbstudy,밀크T초등,,,,,2021-08-09 12:20:29.006,2021-08-09 12:20:29.006,e_session,2021.0,8.0,9.0
1,202108,20210809.0,,,SessionEvent,Paused,SoftwareApplication,kr.hbstudy.apphbstudy,밀크T초등,,,,,2021-08-09 12:26:05.250,2021-08-09 12:26:05.250,e_session,2021.0,8.0,9.0
2,202108,20210809.0,,,SessionEvent,Resumed,SoftwareApplication,kr.hbstudy.apphbstudy,밀크T초등,,,,,2021-08-09 12:51:45.020,2021-08-09 12:51:45.020,e_session,2021.0,8.0,9.0
3,202108,20210809.0,T0ME31U42019,T_TERMREVIEW,NavigationEvent,NavigatedTo,DigitalResource,준비하기,메뉴 인덱스 : 1,DigitalResource,인트로,메뉴 인덱스 : 0,T0ME31U42019,2021-08-09 12:53:45.834,2021-08-09 12:53:45.834,e_navigation,2021.0,8.0,9.0
4,202108,20210809.0,T0ME31U42019,T_TERMREVIEW,NavigationEvent,NavigatedTo,DigitalResource,개념 맛보기,메뉴 인덱스 : 2,DigitalResource,준비하기,메뉴 인덱스 : 1,T0ME31U42019,2021-08-09 12:54:00.839,2021-08-09 12:54:00.839,e_navigation,2021.0,8.0,9.0
5,202108,20210809.0,T0ME31U42019,T_TERMREVIEW,NavigationEvent,NavigatedTo,DigitalResource,한눈에 정리하기,메뉴 인덱스 : 5,DigitalResource,교과서 즐기기,메뉴 인덱스 : 4,T0ME31U42019,2021-08-09 12:56:42.636,2021-08-09 12:56:42.636,e_navigation,2021.0,8.0,9.0
6,202108,20210809.0,T0ME31U42019,T_TERMREVIEW,NavigationEvent,NavigatedTo,DigitalResource,기본문제,메뉴 인덱스 : 6,DigitalResource,한눈에 정리하기,메뉴 인덱스 : 5,T0ME31U42019,2021-08-09 12:57:20.189,2021-08-09 12:57:20.189,e_navigation,2021.0,8.0,9.0
7,202108,20210809.0,,,SessionEvent,Paused,SoftwareApplication,kr.hbstudy.apphbstudy,밀크T초등,,,,,2021-08-09 13:18:28.227,2021-08-09 13:18:28.227,e_session,2021.0,8.0,9.0
8,202108,20210809.0,,,SessionEvent,Resumed,SoftwareApplication,kr.hbstudy.apphbstudy,밀크T초등,,,,,2021-08-09 13:28:16.237,2021-08-09 13:28:16.237,e_session,2021.0,8.0,9.0
9,202108,20210809.0,,,SessionEvent,Paused,SoftwareApplication,kr.hbstudy.apphbstudy,밀크T초등,,,,,2021-08-09 13:29:57.229,2021-08-09 13:29:57.229,e_session,2021.0,8.0,9.0
10,202108,20210810.0,,,SessionEvent,Resumed,SoftwareApplication,kr.hbstudy.apphbstudy,밀크T초등,,,,,2021-08-10 07:56:16.206,2021-08-10 07:56:16.206,e_session,2021.0,8.0,10.0
11,202108,20210810.0,,,SessionEvent,Paused,SoftwareApplication,kr.hbstudy.apphbstudy,밀크T초등,,,,,2021-08-10 08:10:00.985,2021-08-10 08:10:00.985,e_session,2021.0,8.0,10.0
12,202108,20210810.0,,,SessionEvent,Resumed,SoftwareApplication,kr.hbstudy.apphbstudy,밀크T초등,,,,,2021-08-10 08:20:45.515,2021-08-10 08:20:45.515,e_session,2021.0,8.0,10.0
13,202108,20210810.0,T0KE31U26014,T_TERMREVIEW,NavigationEvent,NavigatedTo,DigitalResource,교과서 읽기,메뉴 인덱스 : 1,DigitalResource,인트로,메뉴 인덱스 : 0,T0KE31U26014,2021-08-10 08:22:56.158,2021-08-10 08:22:56.158,e_navigation,2021.0,8.0,10.0
14,202108,20210810.0,T0KE31U26014,T_TERMREVIEW,NavigationEvent,NavigatedTo,DigitalResource,개념 배우기,메뉴 인덱스 : 2,DigitalResource,교과서 읽기,메뉴 인덱스 : 1,T0KE31U26014,2021-08-10 08:23:00.383,2021-08-10 08:23:00.383,e_navigation,2021.0,8.0,10.0
